Date Time,TEMPERATURE,RELATIVE_HUMIDITY,SOIL_MOISTURE,PRESSURE,WIND_SPEED,RAINFALL,NDVI
25-01-2022 20:29,283.11,63.55,25.97,986.6,1.845,0.0098425,0.232
25-01-2022 20:30,283.215,62.87,25.96,986.95,1.725,0.0098425,0.232
25-01-2022 20:30,283.6,61.885,25.96,987.31,1.665,0.0098425,0.232
25-01-2022 20:30,284.8,60.29,25.96,987.76,1.825,0.0098425,0.232
25-01-2022 20:30,286.08,55.54,25.96,988.16,2.09,0.0098425,0.232
25-01-2022 20:31,287.845,50.78,25.525,988.235,2.515,0.0098425,0.232
25-01-2022 20:31,289.095,47.665,25.525,987.93,2.86,0.0098425,0.232
25-01-2022 20:31,289.73,46.445,25.305,987.44,2.915,0.0098425,0.232
25-01-2022 20:32,290.055,46.11,25.305,987.035,2.91,0.0098425,0.232
25-01-2022 20:32,289.92,46.925,25.305,986.77,2.63,0.0098425,0.232
25-01-2022 20:32,289.105,54.91,24.975,986.685,1.88,0.0098425,0.232
25-01-2022 20:33,288.44,52.17,24.975,986.755,1.515,0.0098425,0.232
25-01-2022 20:33,288.005,51.45,24.75,987.03,1.425,0.0098425,0.232
25-01-2022 20:33,287.21,53.61,24.75,987.425,1.87,0.0098425,0.232
25-01-2022 20:33,286.16,56.57,24.75,987.785,2.29,0.0098425,0.232
25-01-2022 20:34,285.235,59.7,24.75,987.97,2.605,0.0098425,0.232
25-01-2022 20:34,284.75,61.775,24.75,987.965,2.765,0.0098425,0.232
25-01-2022 20:34,284.54,62.85,24.75,987.825,2.81,0.0098425,0.232
25-01-2022 20:35,284.46,63.245,24.75,987.54,2.75,0.0098425,0.232
25-01-2022 20:35,284.525,62.905,24.75,987.315,2.595,0.0098425,0.232
25-01-2022 20:35,284.67,62.295,24.75,987.18,2.4,0.0098425,0.232
25-01-2022 20:36,284.82,61.875,24.75,987.075,2.22,0.0098425,0.232
25-01-2022 20:36,284.79,62.24,24.75,986.98,2.085,0.0098425,0.232
25-01-2022 20:36,284.63,63.185,24.75,987.145,1.99,0.0098425,0.232
25-01-2022 20:36,284.4,64.435,24.75,987.52,1.98,0.0098425,0.232
25-01-2022 20:37,284.19,65.54,24.75,987.99,2.035,0.0098425,0.232
25-01-2022 20:37,284.4,65.715,24.75,988.355,2.085,0.0098425,0.232
25-01-2022 20:37,285.645,62.565,24.75,988.68,2.29,0.0098425,0.232
25-01-2022 20:38,286.815,58.43,24.75,988.865,2.475,0.0098425,0.232
25-01-2022 20:38,288.39,55.53,24.75,988.615,2.93,0.0098425,0.232
25-01-2022 20:38,289.5,54.17,24.75,987.96,3.12,0.0099855,0.232
25-01-2022 20:39,290.1,53.91,24.75,987.27,2.985,0.011145,0.232
25-01-2022 20:39,290.37,54.215,24.75,986.775,2.645,0.01582,0.232
25-01-2022 20:39,290.31,54.9,24.75,986.55,2.21,0.017464,0.232
25-01-2022 20:39,289.955,56.82,24.75,986.475,1.72,0.010729,0.232
25-01-2022 20:40,289.205,60.215,24.75,986.51,1.3,0.009925,0.232
25-01-2022 20:40,288.37,60.9,24.75,986.645,1.75,0.0098845,0.232
25-01-2022 20:40,287.755,62.97,24.75,986.82,2.1,0.0098645,0.232
25-01-2022 20:41,287.205,64.8,24.75,986.975,2.33,0.0098565,0.232
25-01-2022 20:41,286.77,65.905,24.75,987.07,2.455,0.009849,0.232
25-01-2022 20:41,286.41,66.59,24.75,987.09,2.5,0.0098455,0.232
25-01-2022 20:42,286.14,66.905,24.75,986.995,2.485,0.0098445,0.232
25-01-2022 20:42,285.985,66.8,24.75,986.775,2.45,0.009844,0.232
25-01-2022 20:42,285.9,66.42,24.75,986.575,2.405,0.009844,0.232
25-01-2022 20:42,285.83,66.005,24.75,986.43,2.325,0.009844,0.232
25-01-2022 20:43,285.75,65.785,24.75,986.195,2.225,0.0098455,0.232
25-01-2022 20:43,285.675,65.875,24.75,985.93,2.135,0.009844,0.232
25-01-2022 20:43,285.415,66.745,24.75,985.79,2.09,0.0098435,0.232
25-01-2022 20:44,285.245,67.36,24.75,985.855,2.03,0.0098435,0.232
25-01-2022 20:44,285.025,68.355,24.75,986.13,1.895,0.0098435,0.232
25-01-2022 20:44,285.41,67.33,24.75,986.465,1.77,0.0098435,0.232
25-01-2022 20:44,286.87,62.72,24.75,986.785,1.805,0.0098435,0.232
25-01-2022 20:45,288.46,57.975,24.75,986.95,1.74,0.0099815,0.232
25-01-2022 20:45,290.045,54.45,24.75,986.71,1.825,0.0121935,0.232
25-01-2022 20:45,290.825,53.06,24.75,986.17,2.15,0.0149875,0.232
25-01-2022 20:46,291.245,51.99,24.75,985.485,2.295,0.015258,0.232
25-01-2022 20:46,291.41,51.155,24.75,984.955,2.31,0.0144185,0.232
25-01-2022 20:46,291.26,51.015,24.75,984.64,2.31,0.011899,0.232
25-01-2022 20:47,290.71,53.435,24.75,984.54,2.175,0.01008,0.232
25-01-2022 20:47,289.06,59.675,24.75,984.59,2.2,0.009852,0.232
25-01-2022 20:47,287.81,60.515,24.75,984.81,2.475,0.0098425,0.232
25-01-2022 20:47,287.085,62.755,24.75,985.14,2.665,0.0098425,0.232
25-01-2022 20:48,286.52,64.505,24.75,985.46,2.785,0.0098425,0.232
25-01-2022 20:48,286.07,65.785,24.75,985.675,2.795,0.0098425,0.232
25-01-2022 20:48,285.67,66.975,24.75,985.835,2.745,0.0098425,0.232
25-01-2022 20:49,285.34,68.1,24.75,985.875,2.68,0.0098425,0.232
25-01-2022 20:49,285.12,68.915,24.75,985.815,2.605,0.0098425,0.232
25-01-2022 20:49,285.055,69.13,24.75,985.695,2.5,0.0098425,0.232
25-01-2022 20:49,285.16,68.475,24.75,985.45,2.355,0.0098425,0.232
25-01-2022 20:50,285.33,67.52,24.75,985.19,2.185,0.0098425,0.232
25-01-2022 20:50,285.435,66.9,24.75,984.955,2.005,0.0098425,0.232
25-01-2022 20:50,285.6,65.995,24.75,984.895,1.85,0.0098425,0.232
25-01-2022 20:51,285.55,66.05,24.75,985.02,1.71,0.0098425,0.232
25-01-2022 20:51,285.39,66.615,24.75,985.285,1.595,0.0098425,0.232
25-01-2022 20:51,285.555,65.935,24.75,985.58,1.545,0.0098425,0.232
25-01-2022 20:52,286.54,63.005,24.75,985.96,1.605,0.0098425,0.232
25-01-2022 20:52,287.8,57.985,24.75,986.32,1.395,0.0098425,0.232
25-01-2022 20:52,289.37,51.105,24.75,986.25,2.135,0.0098495,0.232
25-01-2022 20:52,289.94,48.98,24.75,985.81,2.55,0.009861,0.232
25-01-2022 20:53,290.145,48.38,24.75,985.26,2.815,0.009855,0.232
25-01-2022 20:53,290.155,48.29,24.75,984.815,3.01,0.0098615,0.232
25-01-2022 20:53,290.005,48.655,24.75,984.51,3.08,0.009863,0.232
25-01-2022 20:54,289.45,51.865,24.75,984.395,2.725,0.0098435,0.232
25-01-2022 20:54,287.72,59.395,24.75,984.555,2.475,0.0098425,0.232
25-01-2022 20:54,286.65,59.99,24.75,984.905,2.63,0.009843,0.232
25-01-2022 20:55,286.34,60.24,24.75,985.33,2.63,0.0098425,0.232
25-01-2022 20:55,286.09,60.44,24.75,985.665,2.62,0.0098425,0.232
25-01-2022 20:55,285.84,60.84,24.75,985.895,2.6,0.0098425,0.232
25-01-2022 20:55,285.54,61.61,24.75,985.95,2.595,0.0098425,0.232
25-01-2022 20:56,285.195,62.9,24.75,985.87,2.63,0.0098425,0.232
25-01-2022 20:56,284.87,64.32,24.75,985.705,2.69,0.0098425,0.232
25-01-2022 20:56,284.62,65.585,24.75,985.47,2.735,0.0098425,0.232
25-01-2022 20:57,284.455,66.52,24.75,985.335,2.735,0.0098425,0.232
